arc_id,point_order,x,y,genre,direction,total
0,0,400.0,80.0,Drama,all,9000
0,1,413.3536654925177,80.2787470030903,Drama,all,9000
0,2,426.6840666460583,81.11450238803786,Drama,all,9000
0,3,439.96797965204996,82.50581012791224,Drama,all,9000
0,4,453.1822616921192,84.45024632982052,Drama,all,9000
0,5,466.3038912567869,86.94442345773786,Drama,all,9000
0,6,479.310008252823,89.98399623416674,Drama,all,9000
0,7,492.17795382938704,93.56366921034413,Drama,all,9000
0,8,504.8853098535702,97.67720599180655,Drama,all,9000
0,9,517.4099379665666,102.31744010324189,Drama,all,9000
0,10,529.7300181524305,107.4762874736989,Drama,all,9000
0,11,541.8240867522267,113.14476052040311,Drama,all,9000
0,12,553.6710738573465,119.31298380664282,Drama,all,9000
0,13,565.2503400168451,125.9702112464467,Drama,all,9000
0,14,576.541712194848,133.10484482607882,Drama,all,9000
0,15,587.5255189153836,140.7044548097362,Drama,all,9000
0,16,598.1826245334153,148.7558013942464,Drama,all,9000
0,17,608.4944625723641,157.24485777503895,Drama,all,9000
0,18,618.4430680700444,166.15683458320632,Drama,all,9000
0,19,628.0111088766599,175.47620565108042,Drama,all,9000
0,20,637.1819158503338,185.18673506143713,Drama,all,9000
0,21,645.939511897567,195.27150543320428,Drama,all,9000
0,22,654.2686398080318,205.71294739439446,Drama,all,9000
0,23,662.1547888352072,216.4928701909162,Drama,all,9000
0,24,669.5842199765476,227.59249337793787,Drama,all,9000
0,25,676.5439899091449,238.99247953859185,Drama,all,9000
0,26,683.0219735391809,250.67296797301847,Drama,all,9000
0,27,689.0068851258873,262.6136092990568,Drama,all,9000
0,28,661.9124896453353,275.4935834272702,Drama,all,9000
0,29,656.4886635198827,264.67237722554796,Drama,all,9000
0,30,650.6179908551626,254.08693458184882,Drama,all,9000
0,31,644.3106993537463,243.7556971237562,Drama,all,9000
0,32,637.5777773819065,233.69666361051776,Drama,all,9000
0,33,630.4309548260289,223.92735857616992,Drama,all,9000
0,34,622.8826826571701,214.46480179884136,Drama,all,9000
0,35,614.9461112393649,205.3254786494274,Drama,all,9000
0,36,606.635067419473,196.5253113712916,Drama,all,9000
0,37,597.9640304384777,188.0796313410307,Drama,all,9000
0,38,588.948106706205,180.00315235862902,Drama,all,9000
0,39,579.6030034834075,172.30994501353578,Drama,all,9000
0,40,569.9450015170663,165.0134121713234,Drama,all,9000
0,41,559.9909266765809,158.12626562363388,Drama,all,9000
0,42,549.7581206402659,151.6605039420923,Drama,all,9000
0,43,539.2644106832203,145.6273915747701,Drama,all,9000
0,44,528.5280786192054,140.03743922161527,Drama,all,9000
0,45,517.5678289506401,134.90038552303963,Drama,all,9000
0,46,506.4027562822009,130.22518009356293,Drama,all,9000
0,47,495.052312054798,126.0199679300747,Drama,all,9000
0,48,483.536270657882,122.29207522187437,Drama,all,9000
0,49,471.8746949791209,119.04799658721362,Drama,all,9000
0,50,460.0879014514631,116.29338375857486,Drama,all,9000
0,51,448.19642465848295,114.03303573639982,Drama,all,9000
0,52,436.22098155967024,112.27089042842044,Drama,all,9000
0,53,424.18243539799033,111.01001778915929,Drama,all,9000
0,54,412.10175935259406,110.2526144715506,Drama,all,9000
0,55,400.0,110.0,Drama,all,9000
1,0,692.3508771797203,269.88095983966036,Comedy,all,7945
1,1,696.9461105457283,280.73974915436366,Comedy,all,7945
1,2,701.1381772918826,291.76045927054827,Comedy,all,7945
1,3,704.9213858084258,302.9281272629961,Comedy,all,7945
1,4,708.2905995963918,314.22759068035214,Comedy,all,7945
1,5,711.2412442414802,325.64350813133245,Comedy,all,7945
1,6,713.7693136247838,337.1603801138801,Comedy,all,7945
1,7,715.8713753619343,348.7625700589894,Comedy,all,7945
1,8,717.5445754632846,360.4343255606279,Comedy,all,7945
1,9,718.7866422087975,372.15979976293113,Comedy,all,7945
1,10,719.5958892323832,383.92307287563256,Comedy,all,7945
1,11,719.9712178114938,395.7081737885179,Comedy,all,7945
1,12,719.9121183588702,407.49910175555624,Comedy,all,7945
1,13,719.4186711144137,419.2798481192687,Comedy,all,7945
1,14,718.4915460362428,431.0344180458383,Comedy,all,7945
1,15,717.1320018910857,442.74685224145094,Comedy,all,7945
1,16,715.3418845452395,454.401248620384,Comedy,all,7945
1,17,713.1236244584202,465.98178389542255,Comedy,all,7945
1,18,710.4802333839034,477.47273506129005,Comedy,all,7945
1,19,707.4153002794383,488.85850074192575,Comedy,all,7945
1,20,703.9329864344838,500.123622372624,Comedy,all,7945
1,21,700.038019820387,511.25280518827844,Comedy,all,7945
1,22,695.7356886711689,522.2309389892328,Comedy,all,7945
1,23,691.0318343036383,533.0431186565454,Comedy,all,7945
1,24,685.9328431865799,543.6746643888154,Comedy,all,7945
1,25,680.4456382697824,554.11114163309,Comedy,all,7945
1,26,674.5776695846835,564.3383806827985,Comedy,all,7945
1,27,668.3369041293884,574.3424959161005,Comedy,all,7945
1,28,643.1803193672581,557.997886923966,Comedy,all,7945
1,29,648.8360130611193,548.9316574937862,Comedy,all,7945
1,30,654.1538596819904,539.6632221049878,Comedy,all,7945
1,31,659.126639137838,530.2051646023639,Comedy,all,7945
1,32,663.7475998376722,520.5703262824943,Comedy,all,7945
1,33,668.0104678582468,510.7717884589921,Comedy,all,7945
1,34,671.9094554622258,500.82285470187736,Comedy,all,7945
1,35,675.439268956251,490.7370327751905,Comedy,all,7945
1,36,678.5951158782409,480.5280162973702,Comedy,all,7945
1,37,681.3727115041625,470.2096661492941,Comedy,all,7945
1,38,683.7682846654433,459.79599165522666,Comedy,all,7945
1,39,685.7785828691233,449.30113156222296,Comedy,all,7945
1,40,687.4008767137964,438.7393348438149,Comedy,all,7945
1,41,688.632963595345,428.12494135404097,Comedy,all,7945
1,42,689.4731706974374,417.47236235808725,Comedy,all,7945
1,43,689.9203572627262,406.7960609659728,Comedy,all,7945
1,44,689.9739161416662,396.1105324958443,Comedy,all,7945
1,45,689.6337746168474,385.430284793542,Comedy,all,7945
1,46,688.9003945017228,374.76981853515633,Comedy,all,7945
1,47,687.7747715136015,364.143607539319,Comedy,all,7945
1,48,686.2584339217531,353.5660791159591,Comedy,all,7945
1,49,684.3534404724603,343.0515944782038,Comedy,all,7945
1,50,682.0623775938415,332.61442924402,Comedy,all,7945
1,51,679.3883558842301,322.26875405406906,Comedy,all,7945
1,52,676.3350058888859,312.02861533209017,Comedy,all,7945
1,53,672.9064731707687,301.90791621393436,Comedy,all,7945
1,54,669.1074126820663,291.92039767114204,Comedy,all,7945
1,55,664.9429824441215,282.0796198546922,Comedy,all,7945
2,0,663.8949448190456,580.9957405547237,Thriller,all,5621
2,1,659.0871725924491,587.8133035704619,Thriller,all,5621
2,2,654.1033176408253,594.5032235309375,Thriller,all,5621
2,3,648.9467671282405,601.0609537836663,Thriller,all,5621
2,4,643.6210255873849,607.4820375159034,Thriller,all,5621
2,5,638.1297125377969,613.7621107836144,Thriller,all,5621
2,6,632.476560025938,619.8969054773314,Thriller,all,5621
2,7,626.6654100887929,625.8822522228768,Thriller,all,5621
2,8,620.700212142715,631.714083214984,Thriller,all,5621
2,9,614.5850202992963,637.3884349818891,Thriller,all,5621
2,10,608.3239906100812,642.9014510790144,Thriller,all,5621
2,11,601.9213782420012,648.2493847099136,Thriller,all,5621
2,12,595.3815345854466,653.4286012726976,Thriller,all,5621
2,13,588.7089042969427,658.4355808302087,Thriller,all,5621
2,14,581.9080222784398,663.2669205022664,Thriller,all,5621
2,15,574.98351059527,667.9193367783577,Thriller,all,5621
2,16,567.940075334865,672.3896677492006,Thriller,all,5621
2,17,560.7825034083704,676.6748752556642,Thriller,all,5621
2,18,553.5156592973306,680.7720469535845,Thriller,all,5621
2,19,546.1444817476533,684.6783982930735,Thriller,all,5621
2,20,538.6739804131034,688.3912744109748,Thriller,all,5621
2,21,531.1092324506051,691.9081519351819,Thriller,all,5621
2,22,523.4553790696674,695.2266406995898,Thriller,all,5621
2,23,515.7176220382773,698.3444853685189,Thriller,all,5621
2,24,507.9012201476368,701.2595669695008,Thriller,all,5621
2,25,500.0114856381435,703.9699043333919,Thriller,all,5621
2,26,492.0537805890476,706.4736554408282,Thriller,all,5621
2,27,484.0335132742364,708.7691186741134,Thriller,all,5621
2,28,476.1553714047767,679.8220137984154,Thriller,all,5621
2,29,483.4237386588244,677.7417502432506,Thriller,all,5621
