imdb_id,title_ieee,year_ieee,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres_ieee,genres_list,primary_genre,num_genres,release_date_parsed,id,title_tmdb,vote_average,vote_count,status,release_date,revenue,runtime,budget,original_language,popularity,genres_tmdb,production_companies,production_countries,year_tmdb,countries_list,primary_country,num_countries,tmdb_genres_list,tmdb_primary_genre,primary_company
tt0434409,V for Vendetta,2005,8.2,1002944,2205,132,R,Action; Drama; Sci-Fi; ,"['Action', 'Drama', 'Sci-Fi']",Action,3,2006-03-17,752,V for Vendetta,7.897,13556,Released,2006-02-23,132511035,132,54000000,en,42.174,"Action, Thriller, Science Fiction","Studio Babelsberg, Virtual Studios, Anarchos Productions, Silver Pictures, Fünfte Babelsberg Film, Warner Bros. Pictures, DC Comics, Medienboard Berlin-Brandenburg","Germany, United Kingdom, United States of America",2006.0,"['Germany', 'United Kingdom', 'United States of America']",Germany,3,"['Action', 'Thriller', 'Science Fiction']",Action,Studio Babelsberg
tt0110413,Léon: The Professional,1994,8.5,999596,1193,110,R,Action; Crime; Drama; ,"['Action', 'Crime', 'Drama']",Action,3,1994-11-18,101,Léon: The Professional,8.316,13652,Released,1994-09-14,45284974,111,16000000,en,58.625,"Crime, Drama, Action","Gaumont, Les Films du Dauphin","United States of America, France",1994.0,"['United States of America', 'France']",United States of America,2,"['Crime', 'Drama', 'Action']",Crime,Gaumont
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,997264,2186,143,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2003-07-09,22,Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,Released,2003-07-09,655011224,143,140000000,en,80.509,"Adventure, Fantasy, Action","Walt Disney Pictures, Jerry Bruckheimer Films",United States of America,2003.0,['United States of America'],United States of America,1,"['Adventure', 'Fantasy', 'Action']",Adventure,Walt Disney Pictures
tt0266697,Kill Bill: Vol. 1,2003,8.1,970439,2272,111,R,Action; Crime; Thriller; ,"['Action', 'Crime', 'Thriller']",Action,3,2003-10-10,24,Kill Bill: Vol. 1,7.97,16188,Released,2003-10-10,180906076,111,30000000,en,36.315,"Action, Crime","Miramax, A Band Apart, Super Cool ManChu",United States of America,2003.0,['United States of America'],United States of America,1,"['Action', 'Crime']",Action,Miramax
tt0103064,Terminator 2: Judgment Day,1991,8.5,968504,1269,137,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,1991-07-03,280,Terminator 2: Judgment Day,8.104,11744,Released,1991-07-03,520000000,137,102000000,en,69.45,"Action, Thriller, Science Fiction","Lightstorm Entertainment, Carolco Pictures, Pacific Western, Le Studio Canal+","France, United States of America",1991.0,"['France', 'United States of America']",France,2,"['Action', 'Thriller', 'Science Fiction']",Action,Lightstorm Entertainment
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3,922278,828,131,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1983-05-25,1892,Return of the Jedi,7.892,14591,Released,1983-05-25,572700000,132,32350000,en,40.104,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,1983.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Lucasfilm Ltd.
tt0371746,Iron Man,2008,7.9,915640,1319,126,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2008-05-02,1726,Iron Man,7.64,24874,Released,2008-04-30,585174222,126,140000000,en,72.897,"Action, Science Fiction, Adventure",Marvel Studios,United States of America,2008.0,['United States of America'],United States of America,1,"['Action', 'Science Fiction', 'Adventure']",Action,Marvel Studios
tt1431045,Deadpool,2016,8.0,876091,1440,108,R,Action; Adventure; Comedy; ,"['Action', 'Adventure', 'Comedy']",Action,3,2016-02-12,293660,Deadpool,7.606,28894,Released,2016-02-09,783100000,108,58000000,en,72.735,"Action, Adventure, Comedy","20th Century Fox, The Donners' Company, Genre Films",United States of America,2016.0,['United States of America'],United States of America,1,"['Action', 'Adventure', 'Comedy']",Action,20th Century Fox
tt0082971,Raiders of the Lost Ark,1981,8.4,859523,931,115,PG,Action; Adventure; ,"['Action', 'Adventure']",Action,2,1981-06-12,85,Raiders of the Lost Ark,7.924,11483,Released,1981-06-12,389925971,115,18000000,en,60.763,"Adventure, Action","Paramount, Lucasfilm Ltd.",United States of America,1981.0,['United States of America'],United States of America,1,"['Adventure', 'Action']",Adventure,Paramount
tt1392190,Mad Max: Fury Road,2015,8.1,848011,1990,120,R,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2015-05-15,76341,Mad Max: Fury Road,7.582,20911,Released,2015-05-13,378858340,121,150000000,en,78.319,"Action, Adventure, Science Fiction","Kennedy Miller Productions, Warner Bros. Pictures, RatPac Entertainment, Village Roadshow Pictures","Australia, United States of America, South Africa",2015.0,"['Australia', 'United States of America', 'South Africa']",Australia,3,"['Action', 'Adventure', 'Science Fiction']",Action,Kennedy Miller Productions
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,7.9,841234,4794,138,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2015-12-18,140607,Star Wars: The Force Awakens,7.293,18352,Released,2015-12-15,2068223624,136,245000000,en,66.772,"Adventure, Action, Science Fiction","Lucasfilm Ltd., Bad Robot",United States of America,2015.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Lucasfilm Ltd.
tt0107290,Jurassic Park,1993,8.1,836793,1133,127,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,1993-06-11,329,Jurassic Park,7.941,15141,Released,1993-06-11,920100000,127,63000000,en,24.213,"Adventure, Science Fiction","Universal Pictures, Amblin Entertainment",United States of America,1993.0,['United States of America'],United States of America,1,"['Adventure', 'Science Fiction']",Adventure,Universal Pictures
tt1392170,The Hunger Games,2012,7.2,826505,2037,142,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2012-03-23,70160,The Hunger Games,7.193,20636,Released,2012-03-12,694394724,142,75000000,en,29.577,"Science Fiction, Adventure, Fantasy","Lionsgate, Color Force",United States of America,2012.0,['United States of America'],United States of America,1,"['Science Fiction', 'Adventure', 'Fantasy']",Science Fiction,Lionsgate
tt4154756,Avengers: Infinity War,2018,8.4,784777,4248,149,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2018-04-27,299536,Avengers: Infinity War,8.255,27713,Released,2018-04-25,2052415039,149,300000000,en,154.34,"Adventure, Action, Science Fiction",Marvel Studios,United States of America,2018.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Marvel Studios
tt0088247,The Terminator,1984,8.0,779029,885,107,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,1984-10-26,218,The Terminator,7.646,11874,Released,1984-10-26,78371200,108,6400000,en,44.969,"Action, Thriller, Science Fiction","Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding","United Kingdom, United States of America",1984.0,"['United Kingdom', 'United States of America']",United Kingdom,2,"['Action', 'Thriller', 'Science Fiction']",Action,Orion Pictures
tt0095016,Die Hard,1988,8.2,763300,912,132,R,Action; Thriller; ,"['Action', 'Thriller']",Action,2,1988-07-20,562,Die Hard,7.775,10202,Released,1988-07-15,140767956,131,28000000,en,36.754,"Action, Thriller","Gordon Company, Silver Pictures, 20th Century Fox",United States of America,1988.0,['United States of America'],United States of America,1,"['Action', 'Thriller']",Action,Gordon Company
tt4154796,Avengers: Endgame,2019,8.4,736177,8805,181,PG-13,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2019-04-26,299534,Avengers: Endgame,8.263,23857,Released,2019-04-24,2800000000,181,356000000,en,91.756,"Adventure, Science Fiction, Action",Marvel Studios,United States of America,2019.0,['United States of America'],United States of America,1,"['Adventure', 'Science Fiction', 'Action']",Adventure,Marvel Studios
tt1300854,Iron Man 3,2013,7.2,735568,1314,130,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-05-03,68721,Iron Man 3,6.928,21064,Released,2013-04-18,1215577205,130,200000000,en,61.06,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,2013.0,['United States of America'],United States of America,1,"['Action', 'Adventure', 'Science Fiction']",Action,Marvel Studios
tt0800369,Thor,2011,7.0,726753,915,115,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2011-05-06,10195,Thor,6.768,20023,Released,2011-04-21,449326618,115,150000000,en,51.277,"Adventure, Fantasy, Action",Marvel Studios,United States of America,2011.0,['United States of America'],United States of America,1,"['Adventure', 'Fantasy', 'Action']",Adventure,Marvel Studios
tt0416449,300,2006,7.6,719421,2176,117,R,Action; Drama; ,"['Action', 'Drama']",Action,2,2007-03-09,1271,300,7.175,12812,Released,2007-03-07,456082343,117,65000000,en,44.918,"Action, Adventure, War","Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films","Bulgaria, Canada, United States of America",2007.0,"['Bulgaria', 'Canada', 'United States of America']",Bulgaria,3,"['Action', 'Adventure', 'War']",Action,Virtual Studios
tt0458339,Captain America: The First Avenger,2011,6.9,718921,882,124,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2011-07-22,1771,Captain America: The First Avenger,6.995,20269,Released,2011-07-22,370569774,124,140000000,en,43.665,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,2011.0,['United States of America'],United States of America,1,"['Action', 'Adventure', 'Science Fiction']",Action,Marvel Studios
tt2395427,Avengers: Age of Ultron,2015,7.3,717521,1303,141,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2015-05-01,99861,Avengers: Age of Ultron,7.276,21754,Released,2015-04-22,1405403694,141,365000000,en,96.565,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,2015.0,['United States of America'],United States of America,1,"['Action', 'Adventure', 'Science Fiction']",Action,Marvel Studios
tt1843866,Captain America: The Winter Soldier,2014,7.7,714445,937,136,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2014-04-04,100402,Captain America: The Winter Soldier,7.671,17692,Released,2014-03-20,714766572,136,170000000,en,31.482,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,2014.0,['United States of America'],United States of America,1,"['Action', 'Adventure', 'Science Fiction']",Action,Marvel Studios
