ribbon_id,point_order,x,y,from_genre,to_genre,pair_count
0,0,307.35097972972716,674.8020360968211,Action,Science Fiction,599
0,1,305.76690281338654,674.2628727965531,Action,Science Fiction,599
0,2,304.18596326167193,673.7145782816588,Action,Science Fiction,599
0,3,302.60821370984587,673.1571708068689,Action,Science Fiction,599
0,4,301.0337066869643,672.5906689303179,Action,Science Fiction,599
0,5,299.46249461412765,672.0150915129263,Action,Science Fiction,599
0,6,297.89462980273504,671.4304577177725,Action,Science Fiction,599
0,7,296.3301644527434,670.8367870094548,Action,Science Fiction,599
0,8,294.7691506509289,670.2340991534434,Action,Science Fiction,599
0,9,293.2116403691531,669.6224142154226,Action,Science Fiction,599
0,10,291.6576854626325,669.001752560622,Action,Science Fiction,599
0,11,290.1073376682124,668.3721348531395,Action,Science Fiction,599
0,12,288.56064860264377,667.7335820552523,Action,Science Fiction,599
0,13,287.01766976086543,667.0861154267199,Action,Science Fiction,599
0,14,297.2894789023653,641.7378306705432,Action,Science Fiction,599
0,15,306.584462471792,616.5665221975789,Action,Science Fiction,599
0,16,314.9026204691453,591.5721900078271,Action,Science Fiction,599
0,17,322.24395289442515,566.7548341012874,Action,Science Fiction,599
0,18,328.60845974763174,542.1144544779602,Action,Science Fiction,599
0,19,333.99614102876507,517.6510511378455,Action,Science Fiction,599
0,20,338.406996737825,493.36462408094303,Action,Science Fiction,599
0,21,341.8410268748115,469.25517330725285,Action,Science Fiction,599
0,22,344.29823143972465,445.3226988167751,Action,Science Fiction,599
0,23,345.77861043256456,421.56720060950977,Action,Science Fiction,599
0,24,346.2821638533311,397.9886786854568,Action,Science Fiction,599
0,25,345.8088917020243,374.58713304461617,Action,Science Fiction,599
0,26,344.35879397864414,351.36256368698787,Action,Science Fiction,599
0,27,341.9318706831907,328.31497061257204,Action,Science Fiction,599
0,28,338.5281218156639,305.4443538213685,Action,Science Fiction,599
0,29,334.1475473760637,282.75071331337733,Action,Science Fiction,599
0,30,328.7901473643901,260.23404908859857,Action,Science Fiction,599
0,31,322.45592178064334,237.89436114703219,Action,Science Fiction,599
0,32,315.14487062482317,215.73164948867816,Action,Science Fiction,599
0,33,306.85699389692957,193.74591411353643,Action,Science Fiction,599
0,34,297.5922915969627,171.93715502160708,Action,Science Fiction,599
0,35,296.2780642172363,172.5318483007429,Action,Science Fiction,599
0,36,294.9672901202943,173.13411482700715,Action,Science Fiction,599
0,37,293.6600129466033,173.7439345487432,Action,Science Fiction,599
0,38,292.3562762202037,174.36128716282101,Action,Science Fiction,599
0,39,291.0561233472617,174.98615211531327,Action,Science Fiction,599
0,40,289.75959761462434,175.6185086021789,Action,Science Fiction,599
0,41,288.4667421883774,176.25833556995664,Action,Science Fiction,599
0,42,287.17760011240887,176.90561171646547,Action,Science Fiction,599
0,43,285.89221430697546,177.560315491514,Action,Science Fiction,599
0,44,284.6106275672746,178.22242509761767,Action,Science Fiction,599
0,45,283.3328825620183,178.891918490725,Action,Science Fiction,599
0,46,282.0590218320131,179.5687733809512,Action,Science Fiction,599
0,47,280.7890877887445,180.25296723332,Action,Science Fiction,599
0,48,291.66209998917805,201.3060973456345,Action,Science Fiction,599
0,49,301.57429616928727,222.60891001273424,Action,Science Fiction,599
0,50,310.52567632907204,244.16140523461922,Action,Science Fiction,599
0,51,318.5162404685324,265.96358301128936,Action,Science Fiction,599
0,52,325.5459885876684,288.01544334274473,Action,Science Fiction,599
0,53,331.61492068648005,310.3169862289854,Action,Science Fiction,599
0,54,336.7230367649673,332.86821167001125,Action,Science Fiction,599
0,55,340.87033682313006,355.6691196658223,Action,Science Fiction,599
0,56,344.0568208609684,378.71971021641855,Action,Science Fiction,599
0,57,346.2824888784825,402.01998332180005,Action,Science Fiction,599
0,58,347.5473408756722,425.56993898196674,Action,Science Fiction,599
0,59,347.85137685253744,449.3695771969187,Action,Science Fiction,599
0,60,347.1945968090783,473.4188979666559,Action,Science Fiction,599
0,61,345.5770007452948,497.7179012911783,Action,Science Fiction,599
0,62,342.9985886611869,522.2665871704859,Action,Science Fiction,599
0,63,339.4593605567546,547.0649556045787,Action,Science Fiction,599
0,64,334.9593164319979,572.1130065934567,Action,Science Fiction,599
0,65,329.4984562869168,597.41074013712,Action,Science Fiction,599
0,66,323.0767801215113,622.9581562355685,Action,Science Fiction,599
0,67,315.69428793578146,648.7552548888021,Action,Science Fiction,599
1,0,344.39380599115066,684.618957885539,Action,Adventure,827
1,1,342.12821668892855,684.1669521538288,Action,Adventure,827
1,2,339.8663000801346,683.6969124505016,Action,Adventure,827
1,3,337.6081997118617,683.2088686054959,Action,Adventure,827
1,4,335.3540588890145,682.7028515913396,Action,Adventure,827
1,5,333.1040206652145,682.1788935211844,Action,Adventure,827
1,6,330.85822783372157,681.6370276467682,Action,Adventure,827
1,7,328.61682291837207,681.077288356304,Action,Adventure,827
1,8,326.37994816453386,680.4997111722992,Action,Adventure,827
1,9,324.14774553007885,679.9043327492991,Action,Adventure,827
1,10,321.92035667637435,679.2911908715622,Action,Adventure,827
1,11,319.6979229592923,678.6603244506621,Action,Adventure,827
1,12,317.48058542023944,678.0117735230176,Action,Adventure,827
1,13,315.2684847772052,677.3455792473521,Action,Adventure,827
1,14,322.621200509067,651.3462919970691,Action,Adventure,827
1,15,328.54001147173943,626.1761596266679,Action,Adventure,827
1,16,333.0249176652223,601.8351821361484,Action,Adventure,827
1,17,336.0759190895155,578.3233595255107,Action,Adventure,827
1,18,337.6930157446192,555.6406917947548,Action,Adventure,827
1,19,337.87620763053343,533.787178943881,Action,Adventure,827
1,20,336.6254947472582,512.7628209728891,Action,Adventure,827
1,21,333.9408770947933,492.5676178817788,Action,Adventure,827
1,22,329.8223546731388,473.20156967055027,Action,Adventure,827
1,23,324.2699274822949,454.66467633920377,Action,Adventure,827
1,24,317.2835955222616,436.95693788773906,Action,Adventure,827
1,25,308.8633587930385,420.07835431615615,Action,Adventure,827
1,26,299.009217294626,404.02892562445504,Action,Adventure,827
1,27,287.72117102702396,388.80865181263584,Action,Adventure,827
1,28,274.9992199902324,374.41753288069845,Action,Adventure,827
1,29,260.84336418425124,360.8555688286429,Action,Adventure,827
1,30,245.25360360908053,348.12275965646916,Action,Adventure,827
1,31,228.2299382647204,336.21910536417727,Action,Adventure,827
1,32,209.77236815117067,325.1446059517673,Action,Adventure,827
1,33,189.8808932684314,314.89926141923905,Action,Adventure,827
1,34,168.5555136165026,305.4830717665926,Action,Adventure,827
1,35,167.80990951870425,307.3298220445882,Action,Adventure,827
1,36,167.07904080610726,309.1824534123666,Action,Adventure,827
1,37,166.36295386153517,311.0408482971378,Action,Adventure,827
1,38,165.6616941297223,312.90488876034334,Action,Adventure,827
1,39,164.9753061144295,314.7744565051423,Action,Adventure,827
1,40,164.30383337562006,316.6494328839178,Action,Adventure,827
1,41,163.6473185266951,318.529698905807,Action,Adventure,827
1,42,163.00580323178917,320.4151352442528,Action,Adventure,827
1,43,162.3793282031264,322.3056222445763,Action,Adventure,827
1,44,161.7679331984365,324.20103993157045,Action,Adventure,827
1,45,161.17165701843172,326.10126801711414,Action,Adventure,827
1,46,160.59053750434472,328.0061859078058,Action,Adventure,827
1,47,160.0246115355265,329.9156727126168,Action,Adventure,827
1,48,182.20915741542345,337.076843634767,Action,Adventure,827
1,49,203.05319725235753,345.21096072743046,Action,Adventure,827
1,50,222.55673104632868,354.3180239906071,Action,Adventure,827
1,51,240.71975879733688,364.3980334242967,Action,Adventure,827
1,52,257.54228050538217,375.4509890284997,Action,Adventure,827
1,53,273.0242961704646,387.47689080321584,Action,Adventure,827
1,54,287.1658057925841,400.47573874844517,Action,Adventure,827
1,55,299.9668093717406,414.44753286418756,Action,Adventure,827
1,56,311.4273069079342,429.3922731504432,Action,Adventure,827
1,57,321.547298401165,445.309959607212,Action,Adventure,827
1,58,330.3267838514328,462.2005922344941,Action,Adventure,827
1,59,337.7657632587377,480.06417103228927,Action,Adventure,827
1,60,343.8642366230797,498.90069600059763,Action,Adventure,827
1,61,348.62220394445876,518.7101671394191,Action,Adventure,827
1,62,352.03966522287493,539.4925844487539,Action,Adventure,827
1,63,354.11662045832816,561.2479479286018,Action,Adventure,827
1,64,354.8530696508185,583.9762575789629,Action,Adventure,827
1,65,354.2490128003459,607.6775133998372,Action,Adventure,827
1,66,352.3044499069104,632.3517153912245,Action,Adventure,827
1,67,349.019380970512,657.9988635531251,Action,Adventure,827
2,0,110.05187479736537,394.5150486349185,Adventure,Drama,261
2,1,110.06658128578135,393.7860871678487,Adventure,Drama,261
2,2,110.08312046057887,393.05716497929143,Adventure,Drama,261
2,3,110.10149221721281,392.3282866768072,Adventure,Drama,261
2,4,110.12169643955411,391.59945686767907,Adventure,Drama,261
2,5,110.1437329998908,390.8706801588837,Adventure,Drama,261
2,6,110.16760175892841,390.1419611570619,Adventure,Drama,261
2,7,110.1933025657911,389.4133044684899,Adventure,Drama,261
2,8,110.22083525802253,388.68471469904995,Adventure,Drama,261
2,9,110.25019966158698,387.95619645420123,Adventure,Drama,261
2,10,110.28139559087026,387.22775433895094,Adventure,Drama,261
2,11,110.31442284868103,386.4993929578251,Adventure,Drama,261
2,12,110.34928122625206,385.7711169148391,Adventure,Drama,261
2,13,110.38597050324148,385.04293081346935,Adventure,Drama,261
2,14,137.810898989903,386.1651568297283,Adventure,Drama,261
2,15,164.92110740288595,386.6828693191661,Adventure,Drama,261
2,16,191.7165957421904,386.59606828178266,Adventure,Drama,261
2,17,218.19736400781622,385.9047537175779,Adventure,Drama,261
2,18,244.36341219976345,384.608925626552,Adventure,Drama,261
2,19,270.2147403180322,382.7085840087049,Adventure,Drama,261
2,20,295.75134836262237,380.2037288640366,Adventure,Drama,261
2,21,320.9732363335339,377.09436019254696,Adventure,Drama,261
2,22,345.88040423076694,373.3804779942361,Adventure,Drama,261
2,23,370.47285205432144,369.06208226910417,Adventure,Drama,261
2,24,394.7505798041973,364.13917301715094,Adventure,Drama,261
2,25,418.71358748039466,358.61175023837643,Adventure,Drama,261
2,26,442.36187508291346,352.4798139327808,Adventure,Drama,261
2,27,465.6954426117537,345.743364100364,Adventure,Drama,261
2,28,488.7142900669153,338.4024007411258,Adventure,Drama,261
2,29,511.4184174483984,330.45692385506646,Adventure,Drama,261
2,30,533.8078247562029,321.9069334421859,Adventure,Drama,261
2,31,555.8825119903289,312.7524295024842,Adventure,Drama,261
2,32,577.6424791507762,302.99341203596117,Adventure,Drama,261
2,33,599.0877262375451,292.62988104261694,Adventure,Drama,261
2,34,620.2182532506354,281.6618365224515,Adventure,Drama,261
2,35,619.9200350146497,281.10854446531806,Adventure,Drama,261
2,36,619.6204266510443,280.5560039281453,Adventure,Drama,261
2,37,619.3194300536618,280.00421840357484,Adventure,Drama,261
2,38,619.0170471251192,279.4531913794758,Adventure,Drama,261
2,39,618.7132797767973,278.9029263389227,Adventure,Drama,261
2,40,618.4081299288275,278.35342676017376,Adventure,Drama,261
2,41,618.10159951008,277.8046961166483,Adventure,Drama,261
2,42,617.7936904581519,277.2567378769054,Adventure,Drama,261
2,43,617.4844047193546,276.7095555046217,Adventure,Drama,261
2,44,617.1737442487017,276.1631524585695,Adventure,Drama,261
2,45,616.8617110098965,275.617532192595,Adventure,Drama,261
2,46,616.5483069753196,275.0726981555963,Adventure,Drama,261
2,47,616.2335341260166,274.5286537915017,Adventure,Drama,261
2,48,595.4727109415057,286.1813527556362,Adventure,Drama,261
2,49,574.3775812214999,297.24014560832603,Adventure,Drama,261
2,50,552.9481449659993,307.70503234957107,Adventure,Drama,261
2,51,531.1844021750037,317.5760129793711,Adventure,Drama,261
2,52,509.08635284851323,326.8530874977265,Adventure,Drama,261
2,53,486.6539969865281,335.5362559046371,Adventure,Drama,261
2,54,463.887334589048,343.6255182001029,Adventure,Drama,261
2,55,440.78636565607303,351.12087438412374,Adventure,Drama,261
2,56,417.35109018760306,358.02232445669983,Adventure,Drama,261
2,57,393.58150818363845,364.3298684178312,Adventure,Drama,261
2,58,369.4776196441789,370.0435062675177,Adventure,Drama,261
2,59,345.0394245692244,375.1632380057594,Adventure,Drama,261
2,60,320.26692295877507,379.6890636325563,Adventure,Drama,261
2,61,295.16011481283095,383.6209831479084,Adventure,Drama,261
2,62,269.7190001313919,386.95899655181574,Adventure,Drama,261
2,63,243.94357891445796,389.7031038442782,Adventure,Drama,261
2,64,217.83385116202913,391.8533050252958,Adventure,Drama,261
2,65,191.38981687410552,393.4096000948688,Adventure,Drama,261
2,66,164.61147605068706,394.3719890529968,Adventure,Drama,261
2,67,137.49882869177364,394.7404718996801,Adventure,Drama,261
3,0,114.2886784949435,350.3105568170237,Adventure,Science Fiction,173
3,1,114.37188175659583,349.8344932375649,Adventure,Science Fiction,173
